EvtId,score
3447383,11611.988
2933923,4864.4146
1222540,4572.041
2613060,4306.999
1712357,3203.687
3487455,3139.9
3442864,2969.593
274417,2834.5684
2782469,2774.7546
1610786,2709.074
3217149,2423.8887
3744875,2237.546
2157748,1791.8114
1212515,1567.5326
1978133,1552.9418
2643310,1406.2437
697844,1290.5656
3054702,921.7879
1754398,803.82404
2476299,788.56305
566427,777.35376
3570585,762.6684
2836874,757.7508
4077628,756.1114
89091,678.789
4183036,675.23334
2726257,650.65607
2880742,647.88214
3464423,640.78796
2997498,635.5295
916989,628.0753
1647295,608.2169
4194217,606.9449
1084770,596.9963
4072360,589.16846
3242667,587.67413
2567988,575.3296
2723059,572.74976
1193010,560.7197
2010700,542.7243
1123218,541.8438
2245041,519.3324
1714939,505.9868
2994571,505.1965
2958127,499.53476
3610305,485.663
2010734,480.41544
456778,474.27808
2311550,451.01816
2318324,444.6918
2082162,444.5043
2413325,431.10843
978745,429.1001
816360,423.92932
1364154,422.26456
1101707,404.9484
3131606,401.18414
3305942,401.08856
2282666,382.7485
1150977,379.96082
2586255,378.2687
495987,369.6249
3499276,368.89597
2338481,360.58194
1781597,360.55826
2447994,356.38287
2765443,341.60666
2041351,339.39056
2520611,337.4098
2664939,334.20258
1481396,332.77872
1394719,332.14758
1858964,331.03857
3908239,330.63287
2318082,327.891
307028,326.08145
1538032,322.17014
1573158,320.34738
1285182,318.26675
2617297,311.8947
3998225,311.0834
3428646,310.51147
665477,308.44537
564368,303.2301
132411,303.08215
2938821,301.81863
1165089,296.2241
3890604,295.1308
3664090,291.31857
462169,289.00052
4120492,286.0723
3410002,285.5788
2802813,285.45715
2912304,283.97864
1288958,283.9016
2601914,282.68338
2168891,280.55487
3176768,276.57782
2744123,275.19608
2538675,274.20694
3474284,266.81024
2163621,266.4497
3129292,263.98923
217973,259.88943
2266347,258.39975
2473739,257.8802
222564,257.75208
1698527,256.1523
2633441,255.2718
2573716,254.68161
4115398,253.62407
1739538,253.02647
2906702,250.03978
688720,249.02869
3983537,239.96964
2522225,238.77599
4193304,238.4916
3364263,238.18721
2486963,236.85767
3923755,234.25339
694784,231.24551
3493508,230.89845
1545902,230.25574
35581,228.01152
2155499,227.84616
312596,227.14557
1850939,226.61816
3180798,221.49771
4036621,221.09918
3224047,220.97704
512202,219.24461
2957093,217.6349
2487400,217.5699
3374605,215.96875
1591630,213.88625
4192743,212.98282
3218442,211.84502
652122,211.29892
972202,210.53625
321107,210.24193
3516297,209.95392
2591975,209.28725
1014588,207.99724
368661,207.94014
3303914,207.04396
1144498,206.7577
3027509,204.64609
1518578,204.12503
1822618,203.74359
3620589,202.56693
2247191,202.06819
1763579,201.54941
296791,199.9219
2803258,198.7284
4195337,197.77109
1176566,197.02545
2438889,196.71613
1088869,196.695
2160503,194.00189
4073612,192.29724
2301631,190.9475
3521234,190.93666
2837236,188.60516
3965690,186.21922
3780330,186.08203
956014,185.91661
1006490,184.2271
3310168,181.62401
19466,181.0138
3812498,180.59273
2490765,179.70667
4115601,179.36319
4205337,179.34576
2918603,178.51881
1835974,178.41827
2046291,178.11421
98368,177.63611
3074830,177.62407
3037238,176.65834
505907,176.49998
4034039,176.46246
3090765,175.68068
2962704,174.6371
4054125,174.41618
1523551,172.54985
3781435,171.52934
2284749,171.10168
4170283,170.23454
1029698,169.4835
1898396,168.6089
580613,168.34671
3600160,167.60765
3933274,166.63951
352026,166.22173
2952089,163.12012
2411663,162.24405
1325954,162.0215
3785293,161.26288
3435126,160.20854
3490173,159.23117
179051,157.83261
3908860,157.19603
2830659,156.36644
2297844,156.2685
2857645,155.67729
3216739,152.20572
2354426,151.77751
3024926,149.32823
1531757,149.29984
2955134,148.82549
1150523,148.51007
4036860,148.4887
3770534,147.30705
154700,147.20804
3543917,146.89275
1845441,146.07756
1676741,145.66756
817294,144.65619
541180,143.82692
2098903,143.46857
846793,142.1788
3830983,141.59903
1485618,141.21654
2200950,140.52715
3627936,140.4463
2145947,138.61401
2024300,138.39142
1048462,138.27481
1685593,137.93275
2683452,136.51851
341700,136.1687
3663982,136.02089
1380843,135.62335
3357041,135.56143
3480532,134.24094
609521,132.58153
1856112,131.95384
220903,131.69656
4058413,131.33426
2283509,130.67876
1390439,130.37311
1388881,129.99106
3565571,129.86674
1423802,129.49652
3575344,129.37628
2597255,129.04102
1684128,127.68259
1428472,127.64612
1721804,127.26042
1524940,126.10907
1157350,126.037125
798157,125.7685
10945,125.28809
52287,124.968124
2978546,124.62695
2149321,124.382645
3417521,123.70382
842128,122.19131
335533,120.78131
2619066,120.19258
32339,119.9627
2586839,119.76533
3749503,119.38175
4099549,117.87233
1787461,117.68255
4137152,117.52781
1391556,117.514206
3722679,116.83591
58204,116.44439
3322807,116.32203
1391003,115.66313
772110,114.75545
2022757,114.359
3031859,114.251526
3804742,113.43717
1568843,113.33949
710488,113.21801
2121920,113.01687
177133,112.59537
2265207,111.852036
935300,111.740944
3641236,111.57624
217019,111.36313
1920824,110.301056
1807659,109.803314
1524559,109.70601
1939279,108.43961
2112091,108.09172
84989,107.84423
1464196,107.613976
3773175,106.7681
3380191,106.31748
1432311,106.15555
1360235,106.045135
2264742,105.72413
2820839,105.187004
3667779,104.305595
1105051,103.960846
3260708,103.60225
2372062,103.435425
2996970,103.05434
584253,102.73853
112104,102.7194
1146670,101.725296
4067824,101.443474
2094462,101.05688
2103580,100.27206
341486,100.166824
2741830,99.6466
3968153,98.77313
836535,98.7058
2312885,98.57889
1464969,97.96841
3808095,97.963806
3155788,97.69394
184748,97.10122
3072278,97.01785
3689287,96.895485
45173,96.51535
2235172,95.794014
2226211,93.99554
3992668,93.024124
4135493,93.00288
821524,92.6271
2197574,92.17109
4033899,92.087006
3788839,91.513756
2905605,91.14407
2472563,91.08502
2740637,91.07652
1777805,91.012405
2326965,90.21373
1599699,89.948524
717451,89.78774
3685281,89.70234
1138496,89.555664
4108872,88.0196
1825234,87.96547
3289427,87.82626
1740658,87.781105
1835162,87.51799
766054,86.990166
2184139,86.96358
2482732,86.73876
3375879,86.67305
1114839,86.03001
3928023,85.59294
3076910,85.205826
3450028,85.181984
1186939,85.10835
3884469,84.98339
1268594,84.67878
1305625,83.86268
2511164,83.70816
1830520,83.54539
4182809,83.38613
3458015,82.84482
1503560,82.763435
2360665,82.2418
524923,82.11824
3100070,81.962906
708786,81.80847
4210348,81.78926
3623674,81.41356
162572,81.27986
2509377,81.04808
3757812,80.84798
4107886,80.236046
419939,79.9756
2659785,79.61258
155238,79.33979
185805,79.23542
2517725,78.85435
4186042,78.7136
2097293,78.56661
1840459,78.359535
2924667,78.26894
1239535,78.24148
2673953,77.96854
2704809,77.75594
2094323,77.7411
491863,76.42771
1096820,76.39294
1536969,76.28475
3361793,76.13736
2846994,75.65758
2959415,75.62304
1903261,75.475876
2927426,75.36334
2490801,75.03041
1695389,74.995186
1122635,74.86683
1209179,74.861984
2432468,74.58316
4127811,74.47826
528253,73.81448
1461946,73.41141
40746,73.017136
2723536,72.86393
1051496,72.863396
2227316,72.73499
248278,72.635056
1614891,72.22608
2821385,72.157646
733586,71.4845
376517,70.47605
2534028,70.24059
836843,69.979515
672516,69.182945
3469259,68.81199
2707480,68.196106
3767622,68.09237
1352971,67.94243
3398673,67.81206
3123496,66.98405
2178083,66.80252
2787422,66.70416
2419431,66.35197
2794034,66.21657
429202,66.189186
1434160,66.01199
684327,65.70734
1823684,65.48343
1657255,65.47089
2290474,65.02575
3398575,64.99615
1608523,64.75261
489547,64.75115
2015907,64.74659
4033970,64.55357
216939,64.50281
3831013,64.2608
3171896,64.142365
545992,63.885612
3785938,63.805588
2296905,63.698578
3551506,63.49385
1853189,63.47946
1104969,63.47192
1893199,63.417625
2009550,63.371002
536135,63.34662
3495660,63.13924
1313329,62.96593
2698231,62.949356
1769244,62.64223
613712,62.37824
2038919,62.342747
2437003,62.32432
3341111,62.314465
3415375,62.2291
2695858,62.115242
3412121,61.98877
3653234,61.92711
779489,61.861355
3945262,61.85571
1275875,61.823036
1040534,61.504673
3967532,61.50122
4020244,61.4924
1245665,61.386242
392754,61.236362
2315106,61.204506
1453255,61.15762
3250657,61.094597
3673790,60.97272
3543338,60.31818
2291827,60.280243
167297,60.229084
3336743,60.16313
4023493,60.08821
3227513,60.079758
449852,60.057713
2581418,60.024372
1921277,59.67842
3267836,59.629635
3321779,59.561344
1462420,59.497005
2328968,59.434498
2704073,59.04519
3464586,58.87949
1398154,58.71748
2492368,58.43882
866196,58.357635
1145038,58.34569
1603279,58.331417
3649282,58.2603
522370,58.13778
1489685,58.058372
3198993,57.97645
2753603,57.973766
836241,57.934143
2768881,57.8056
2778255,57.707123
2611527,57.634304
173814,57.579033
547282,57.481773
4132011,57.4553
1977437,57.364647
3432908,57.28295
1629633,57.164333
3681914,57.05524
643490,56.278923
1576573,56.261066
1207136,56.1222
1501229,56.06984
712918,56.046345
3104575,56.032887
1121481,55.993847
2095228,55.831844
2798546,55.71541
1765144,55.60729
1542636,55.555397
2953087,55.434647
1115507,55.100224
4115323,54.8884
74239,54.88063
1404853,54.583435
948080,54.4954
3337102,54.475506
922203,54.37684
3024896,54.326065
257180,54.317482
2283917,54.178444
2755725,54.12389
1109993,54.009262
1481270,53.691933
3288347,53.586845
2285958,53.297855
3241691,53.258747
3929157,52.979218
2476781,52.93513
2817114,52.898365
43539,52.70369
1032914,52.387245
369420,52.330177
2951836,52.10495
3833940,51.900837
1854569,51.79161
4144935,51.77079
75610,51.75806
2772387,51.706356
664522,51.636627
3792646,51.602047
1018590,51.447914
